University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Albion College,Albion College,1268,Michigan,0.20%,1.80%,3.70%,3.60%,0.10%,2.60%,12.10%,2.90%,6.20%,78.80%,49.80%,50.20%
East Arkansas Community College,East Arkansas Community College,1268,Arkansas,0.40%,1.10%,36.60%,1.30%,0.10%,0.80%,40.30%,0.00%,0.00%,59.70%,65.10%,34.90%
Simpson University (Calif.),Simpson University (Calif.),1267,California,2.10%,3.70%,2.80%,11.30%,0.10%,3.60%,23.50%,1.50%,11.70%,63.30%,65.70%,34.30%
Charlotte School of Law,Charlotte School Law,1267,North Carolina,1.80%,3.50%,36.40%,5.40%,0.20%,0.90%,48.30%,0.10%,2.40%,49.20%,59.70%,40.30%
Mesabi Range Community & Technical College,Mesabi Range Community & Technical College,1265,Minnesota,1.80%,0.40%,5.40%,2.20%,0.10%,4.40%,14.30%,0.20%,8.60%,76.80%,49.50%,50.50%
Lincoln College,Lincoln College,1264,Illinois,0.40%,0.60%,38.00%,4.90%,0.00%,3.10%,46.90%,0.40%,2.10%,50.60%,57.70%,42.30%
Lincoln College of Technology at Denver,Lincoln College Technology Denver,1263,Colorado,2.70%,1.00%,3.50%,28.90%,0.20%,4.60%,40.90%,0.00%,20.30%,38.80%,4.40%,95.60%
Georgetown College,Georgetown College,1262,Kentucky,0.20%,0.90%,8.30%,3.00%,0.00%,2.70%,15.10%,1.40%,2.10%,81.30%,59.60%,40.40%
Lane College,Lane College,1262,Tennessee,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,48.00%,52.00%
West Virginia University Institute of Technology,West Virginia University Institute Technology,1261,West Virginia,0.40%,1.40%,6.60%,4.30%,0.00%,2.50%,15.20%,6.70%,2.10%,76.00%,39.10%,60.90%
Paul D. Camp Community College,Paul D. Camp Community College,1259,Virginia,0.90%,0.70%,35.10%,3.00%,0.10%,3.20%,43.00%,0.00%,0.70%,56.30%,65.10%,34.90%
Southwest Florida College,Southwest Florida College,1259,Florida,0.90%,1.30%,15.50%,22.20%,0.20%,3.30%,43.30%,0.90%,0.20%,55.70%,78.00%,22.00%
Linn State Technical College,Linn State Technical College,1259,Missouri,0.20%,0.20%,0.90%,1.00%,0.10%,0.80%,3.30%,0.00%,1.70%,95.00%,16.80%,83.20%
Hiram College,Hiram College,1259,Ohio,0.20%,1.10%,15.90%,3.70%,0.20%,2.20%,23.40%,3.10%,5.30%,68.20%,53.50%,46.50%
Dabney S. Lancaster Community College,Dabney S. Lancaster Community College,1257,Virginia,0.60%,0.40%,3.70%,1.80%,0.00%,3.30%,9.80%,0.00%,1.20%,89.00%,58.70%,41.30%
Louisiana College,Louisiana College,1256,Louisiana,0.80%,1.00%,22.30%,3.20%,0.10%,1.00%,28.30%,5.60%,4.10%,62.10%,53.30%,46.70%
Heald College at Milpitas (Calif.),Heald College Milpitas (Calif.),1255,California,0.60%,12.90%,2.50%,29.90%,1.10%,2.90%,50.00%,0.00%,43.80%,6.20%,65.80%,34.20%
California Institute of Integral Studies,California Institute Integral Studies,1251,California,0.60%,4.30%,5.90%,10.10%,0.30%,5.70%,26.90%,8.20%,4.30%,60.60%,72.40%,27.60%
Mitchell Technical Institute,Mitchell Technical Institute,1245,South Dakota,3.40%,0.20%,0.20%,1.00%,0.00%,1.40%,6.20%,0.00%,0.10%,93.70%,35.30%,64.70%
South College (Tenn.),South College (Tenn.),1241,Tennessee,0.20%,6.20%,9.70%,1.70%,0.00%,1.80%,19.60%,0.00%,0.90%,79.50%,69.20%,30.80%
Heritage University (Wash.),Heritage University,1241,Washington,4.50%,1.60%,1.10%,47.40%,0.10%,3.80%,58.50%,0.60%,6.30%,34.60%,74.10%,25.90%
DeVry University of Virginia,DeVry University Virginia,1239,Virginia,0.70%,3.60%,43.60%,9.30%,0.50%,1.70%,59.30%,4.40%,5.80%,30.50%,39.40%,60.60%
University suline College,University suline College,1236,Ohio,0.20%,1.30%,23.50%,2.20%,0.00%,2.10%,29.30%,0.80%,2.80%,67.10%,91.30%,8.70%
Mount Marty College,Mount Marty College,1236,South Dakota,2.30%,1.10%,2.80%,5.20%,0.40%,0.00%,11.70%,0.00%,0.20%,88.10%,58.80%,41.20%
Heald College at Concord (Calif.),Heald College Concord (Calif.),1232,California,0.80%,9.10%,17.90%,24.70%,3.00%,5.20%,60.70%,0.00%,17.50%,21.80%,71.80%,28.20%
John F. Kennedy University,John F. Kennedy University,1230,California,1.70%,8.40%,11.40%,12.40%,1.10%,4.40%,39.40%,3.40%,7.60%,49.50%,74.60%,25.40%
Heidelberg University,Heidelberg University,1230,Ohio,0.20%,1.80%,5.70%,2.70%,0.20%,3.10%,13.60%,0.20%,12.40%,73.70%,50.70%,49.30%
Montana State University -Northern,Montana State University Northern,1230,Montana,12.50%,1.20%,1.40%,1.20%,0.30%,0.40%,17.10%,1.50%,4.90%,76.60%,49.70%,50.30%
Metropolitan College of New York,Metropolitan College New York,1228,New York,1.10%,2.40%,59.20%,19.80%,0.20%,1.20%,83.80%,3.40%,7.70%,5.00%,70.20%,29.80%
Itasca Community College,Itasca Community College,1222,Minnesota,3.60%,0.40%,5.60%,2.80%,0.10%,4.60%,17.00%,2.10%,0.80%,80.00%,45.10%,54.90%
Clarkson College,Clarkson College,1221,Nebraska,0.60%,2.40%,4.30%,2.90%,0.20%,1.60%,12.00%,0.00%,10.20%,77.90%,87.80%,12.20%
Columbia College (S.C.),Columbia College (South Carolina),1221,South Carolina,0.40%,1.10%,36.80%,4.60%,0.10%,3.50%,46.50%,1.60%,0.70%,51.30%,86.30%,13.70%
Coker College,Coker College,1219,South Carolina,0.70%,0.20%,34.30%,2.60%,0.00%,0.00%,37.80%,1.20%,8.20%,52.70%,60.80%,39.20%
Ringling College of Art and Design,Ringling College Art and Design,1219,Florida,0.90%,7.50%,2.60%,14.80%,0.10%,2.20%,28.20%,15.80%,1.10%,55.00%,59.60%,40.40%
Luther Rice University,Luther Rice University,1218,Georgia,0.00%,2.20%,42.20%,2.50%,0.00%,0.00%,46.90%,0.40%,0.10%,52.60%,28.20%,71.80%
Young Harris College,Young Harris College,1218,Georgia,0.20%,0.80%,6.20%,4.00%,0.30%,1.80%,13.40%,7.30%,2.80%,76.50%,57.60%,42.40%
James Sprunt Community College,James Sprunt Community College,1213,North Carolina,0.30%,0.20%,31.70%,15.10%,0.20%,1.30%,48.80%,0.20%,0.00%,50.90%,68.10%,31.90%
Maryville College,Maryville College,1213,Tennessee,0.70%,1.20%,11.10%,2.80%,0.20%,2.60%,18.60%,2.50%,0.50%,78.40%,54.10%,45.90%
Hastings College,Hastings College,1212,Nebraska,0.50%,1.30%,3.40%,5.50%,0.30%,2.70%,13.80%,1.80%,1.10%,83.30%,48.80%,51.20%
William Jessup University,William Jessup University,1212,California,0.90%,3.30%,4.60%,16.00%,0.50%,3.20%,28.50%,0.20%,2.70%,68.50%,59.40%,40.60%
Eastern Nazarene College,Eastern Nazarene College,1211,Massachusetts,0.50%,1.70%,21.60%,12.00%,0.20%,3.10%,39.10%,2.50%,2.50%,56.00%,68.90%,31.10%
Huntington University,Huntington University,1209,Indiana,0.50%,0.60%,2.50%,3.60%,0.10%,2.20%,9.40%,3.40%,0.00%,87.20%,58.60%,41.40%
Medical College of Wisconsin,Medical College Wisconsin,1209,Wisconsin,0.10%,7.90%,2.70%,5.50%,0.00%,10.50%,26.70%,4.10%,7.70%,61.50%,47.90%,52.10%
Career Point College at San Antonio,Career Point College San Antonio,1208,Texas,0.00%,0.00%,31.70%,39.30%,0.00%,0.00%,71.00%,0.00%,0.00%,29.00%,91.70%,8.30%
Northwestern College (Iowa),Northwestern College,1205,Iowa,0.20%,1.10%,1.40%,5.10%,0.10%,2.00%,9.80%,3.20%,4.10%,82.90%,58.80%,41.20%
Ohio State University at Marion,Ohio State University Marion,1204,Ohio,0.30%,4.20%,5.20%,3.60%,0.20%,2.30%,15.80%,0.10%,2.00%,82.10%,53.80%,46.20%
Bastyr University,Bastyr University,1202,Washington,0.50%,10.10%,3.60%,3.50%,0.00%,6.10%,23.70%,6.20%,5.60%,64.50%,82.30%,17.70%
Fielding Graduate University,Fielding Graduate University,1201,California,2.10%,4.20%,13.70%,9.70%,0.20%,3.50%,33.60%,0.30%,11.30%,54.80%,74.30%,25.70%
Dillard University,Dillard University,1200,Louisiana,0.00%,0.00%,92.30%,0.50%,0.00%,0.80%,93.60%,2.20%,3.90%,0.30%,72.60%,27.40%
Wilmington College (Ohio),Wilmington College (Ohio),1200,Ohio,0.60%,0.20%,9.10%,1.80%,0.00%,3.30%,15.00%,0.80%,6.40%,77.80%,54.00%,46.00%
Clarke University,Clarke University,1200,Iowa,0.10%,0.80%,2.80%,3.70%,0.00%,1.30%,8.60%,1.10%,2.10%,88.30%,69.70%,30.30%
Lincoln Technical Institute at Indianapolis (Ind.),Lincoln Technical Institute Indianapolis (Ind.),1199,Indiana,0.30%,1.30%,11.70%,3.30%,0.00%,7.90%,24.50%,0.30%,6.50%,68.70%,2.90%,97.10%
Mercy College of Northwest Ohio,Mercy College Northwest Ohio,1196,Ohio,0.20%,1.60%,8.10%,4.10%,0.10%,2.40%,16.50%,0.00%,3.30%,80.20%,86.00%,14.00%
Pioneer Pacific College at Wilsonville (Ore.),Pioneer Pacific College Wilsonville (Ore.),1195,Oregon,3.10%,3.30%,2.90%,14.60%,0.90%,1.90%,26.70%,0.00%,2.20%,71.10%,72.10%,27.90%
Art Institute of Washington at Arlington (Va,Art Institute Washington Arlington (Va,1195,Washington,0.80%,3.20%,48.50%,13.20%,1.20%,0.00%,66.90%,0.00%,17.60%,15.60%,43.20%,56.80%
Haverford College,Haverford College,1194,Pennsylvania,0.30%,8.40%,5.80%,8.50%,0.00%,5.90%,28.90%,6.00%,0.90%,64.20%,52.90%,47.10%
"Strayer University at Washington, D.C.District o","Strayer University Washington, D.C.District o",1192,Washington,0.60%,1.70%,78.90%,6.10%,0.20%,1.80%,89.20%,3.50%,3.10%,4.20%,60.70%,39.30%
Holy Names University,Holy Names University,1191,California,0.50%,15.00%,21.80%,25.60%,3.10%,1.80%,67.80%,3.20%,4.50%,24.50%,69.70%,30.30%
North Central University,North Central University,1191,Minnesota,0.20%,1.20%,2.60%,5.50%,0.10%,3.00%,12.50%,0.60%,30.80%,56.10%,61.60%,38.40%
Art Institute of Austin,Art Institute Austin,1189,Texas,0.70%,1.50%,15.00%,34.70%,0.90%,0.00%,52.80%,0.00%,11.10%,36.10%,40.50%,59.50%
Ohio State University at Mansfield,Ohio State University Mansfield,1188,Ohio,0.20%,2.30%,8.40%,2.90%,0.00%,2.40%,16.20%,0.00%,2.30%,81.50%,56.20%,43.80%
"Central Methodist University , College of Liberal Arts and Sciences","Central Methodist University , College Liberal Arts and Sciences",1185,Missouri,0.60%,0.30%,7.80%,2.60%,0.10%,2.80%,14.20%,2.50%,2.80%,80.50%,51.80%,48.20%
Birmingham-Southern College,Birmingham Southern College,1185,Alabama,1.00%,5.20%,11.00%,1.90%,0.00%,0.50%,19.70%,0.00%,0.50%,79.80%,46.40%,53.60%
Lakes Region Community College,Lakes Region Community College,1183,New Hampshire,0.40%,1.10%,0.60%,1.30%,0.10%,0.90%,4.40%,0.00%,29.10%,66.50%,52.70%,47.30%
DeVry University of Pennsylvania,DeVry University Pennsylvania,1180,Pennsylvania,0.10%,2.90%,29.40%,5.40%,0.00%,1.40%,39.20%,2.40%,26.90%,31.60%,45.60%,54.40%
Wisconsin Lutheran College,Wisconsin Lutheran College,1179,Wisconsin,0.60%,1.10%,5.30%,4.70%,0.10%,2.20%,14.10%,1.90%,1.40%,82.60%,55.50%,44.50%
Pacific Oaks College,Pacific Oaks College,1176,California,0.30%,4.30%,12.90%,46.00%,0.70%,1.00%,65.20%,0.30%,7.40%,27.00%,92.00%,8.00%
Covenant College,Covenant College,1173,Georgia,0.30%,1.90%,2.70%,2.90%,0.20%,2.00%,10.00%,2.60%,2.20%,85.30%,58.70%,41.30%
Salem Community College,Salem Community College,1173,New Jersey,0.60%,1.70%,17.10%,4.70%,0.40%,4.40%,29.00%,0.00%,17.70%,53.30%,58.80%,41.20%
Pennsylvania State University at York,Pennsylvania State University York,1172,Pennsylvania,0.30%,5.50%,6.00%,6.10%,0.30%,2.00%,20.20%,8.90%,4.10%,66.80%,45.40%,54.60%
College of Health Care Professions-Northwest,College Health Care Professions Northwest,1172,Texas,0.50%,1.80%,33.50%,37.40%,0.20%,2.40%,75.80%,0.00%,0.10%,24.10%,89.40%,10.60%
Baptist College of Health Sciences,Baptist Memorial College Health Sciences,1170,Tennessee,0.00%,1.90%,42.50%,2.00%,0.00%,0.30%,46.60%,0.00%,1.80%,51.60%,91.20%,8.80%
Le Cordon Bleu College of Culinary Arts at Atlanta,Le Cordon Bleu College Culinary Arts Atlanta,1170,Georgia,0.20%,3.40%,54.20%,3.60%,0.20%,3.20%,64.80%,0.00%,21.50%,13.70%,53.90%,46.10%
Hannibal-La Grange University,Hannibal La Grange University,1167,Missouri,0.30%,0.50%,3.20%,1.20%,0.40%,1.00%,6.70%,7.90%,0.50%,84.90%,57.80%,42.20%
Saint Joseph's College (Ind.),Saint Mary's College,1166,Indiana,0.50%,0.50%,8.20%,4.00%,0.00%,2.40%,15.70%,0.90%,2.10%,81.30%,59.70%,40.30%
MGH Institute of Health Professions,MGH Institute Health Professions,1166,Massachusetts,0.60%,12.30%,4.20%,5.90%,0.20%,0.00%,23.20%,0.00%,13.00%,63.90%,81.60%,18.40%
Central Christian College of Kansas,Central Christian College Kansas,1165,Kansas,1.60%,0.90%,18.00%,9.20%,0.40%,1.50%,31.70%,0.70%,21.60%,46.00%,49.40%,50.60%
Milligan College,Milligan College,1164,Tennessee,0.30%,1.30%,4.00%,4.50%,0.20%,1.60%,11.80%,2.70%,0.70%,84.80%,65.30%,34.70%
Boricua College,Boricua College,1163,New York,0.00%,0.00%,14.60%,82.30%,0.30%,0.00%,97.20%,0.00%,2.00%,0.90%,75.30%,24.70%
Warner University,Warner University,1161,Florida,0.30%,0.90%,40.10%,13.00%,0.80%,2.10%,57.20%,1.80%,2.50%,38.50%,49.80%,50.20%
Huntingdon College,Huntingdon College,1160,Alabama,1.20%,0.80%,19.70%,2.50%,0.20%,2.60%,27.00%,0.70%,8.70%,63.60%,49.30%,50.70%
Lake Erie College,Lake Erie College,1155,Ohio,0.30%,0.70%,14.20%,1.70%,0.00%,2.40%,19.40%,3.40%,2.50%,74.70%,50.80%,49.20%
"Art Institute of Dallas, a Campus of South University","Art Institute Dallas, a South University",1155,Texas,0.50%,3.10%,17.50%,24.50%,0.40%,2.90%,48.90%,0.00%,20.40%,30.60%,50.50%,49.50%
Wright State University Lake Campus,Wright State University Lake,1147,Ohio,0.30%,0.80%,3.30%,2.10%,0.00%,2.10%,8.50%,1.50%,0.30%,89.60%,53.40%,46.60%
Otis College of Art and Design,Otis College Art and Design,1146,California,1.00%,28.30%,4.20%,10.30%,0.30%,6.30%,50.30%,21.30%,4.00%,24.30%,67.40%,32.60%
Colorado Northwestern Community College,Colorado Northwestern Community College,1145,Colorado,1.10%,0.50%,2.80%,10.60%,0.30%,3.30%,18.60%,0.70%,6.70%,74.00%,58.80%,41.20%
Hanover College,Hanover College,1145,Indiana,0.60%,1.40%,4.80%,2.30%,0.00%,1.80%,10.90%,5.50%,2.50%,81.00%,57.90%,42.10%
College of Idaho,College Idaho,1144,Idaho,0.50%,2.80%,1.90%,15.30%,0.40%,2.10%,23.10%,6.90%,6.60%,63.40%,52.40%,47.60%
Musicians Institute,Musicians Institute,1142,California,1.00%,3.20%,6.60%,13.20%,0.40%,6.10%,30.50%,35.40%,5.30%,28.80%,20.80%,79.20%
Brooklyn Law School,Brooklyn Law School,1141,New York,0.20%,11.60%,4.60%,7.90%,0.10%,2.70%,27.00%,2.00%,5.40%,65.60%,46.40%,53.60%
Midway College,Midway University,1140,Kentucky,0.10%,0.50%,8.60%,3.60%,0.20%,1.70%,14.60%,3.00%,6.60%,75.80%,83.20%,16.80%
University ion College (Ky.),University ion College (Ky.),1139,Kentucky,0.50%,0.60%,8.20%,1.70%,0.20%,2.10%,13.30%,5.10%,1.50%,80.20%,51.50%,48.50%
Nicolet Area Technical College,Nicolet Area Technical College,1139,Wisconsin,3.90%,0.90%,0.40%,1.20%,0.00%,2.80%,9.20%,0.00%,0.00%,90.80%,63.60%,36.40%
Thomas University,Thomas University,1138,Georgia,0.20%,1.20%,25.20%,3.60%,0.40%,0.00%,30.60%,3.70%,22.40%,43.30%,62.20%,37.80%
University of Maine at Presque Isle,University Maine Presque Isle,1138,Maine,2.50%,0.40%,1.10%,1.10%,0.00%,2.50%,7.50%,6.20%,11.70%,74.70%,64.20%,35.80%
Howard Payne University,Howard Payne University,1137,Texas,0.30%,0.40%,7.70%,21.40%,0.10%,3.10%,32.90%,0.00%,2.80%,64.30%,49.30%,50.70%
WyoTech at Long Beach,WyoTech Long Beach,1136,California,0.50%,4.00%,12.20%,60.40%,1.60%,5.60%,84.40%,0.00%,1.50%,14.10%,9.40%,90.60%
Briar Cliff University,Briar Cliff University,1135,Iowa,0.70%,1.60%,5.50%,8.70%,0.10%,1.70%,18.20%,3.00%,0.00%,78.80%,58.90%,41.10%
Stanbridge College,Stanbridge College,1133,California,0.50%,25.90%,3.80%,30.00%,0.00%,0.00%,60.20%,0.00%,10.90%,28.90%,72.10%,27.90%
Rasmussen College at Green Bay (Wis.),Rasmussen College Green Bay (Wis.),1132,Wisconsin,1.90%,1.90%,1.00%,0.50%,0.20%,1.30%,6.70%,0.00%,27.60%,65.70%,83.80%,16.20%
Jefferson College of Health Sciences,Jefferson College Health Sciences,1131,Virginia,0.10%,2.50%,7.30%,3.50%,0.00%,1.20%,14.60%,0.20%,2.40%,82.80%,79.80%,20.20%
Art Institute of Charlotte,Art Institute Charlotte,1129,North Carolina,0.40%,1.60%,53.40%,8.10%,1.20%,0.00%,64.70%,0.00%,8.90%,26.40%,53.90%,46.10%
Schreiner University,Schreiner University,1128,Texas,0.10%,0.70%,3.60%,30.90%,0.00%,3.80%,39.20%,0.70%,0.00%,60.10%,57.30%,42.70%
Pennsylvania State University -Worthington-Scranton,Pennsylvania State University Worthington Scranton,1126,Pennsylvania,0.00%,5.30%,2.80%,5.80%,0.10%,2.30%,16.30%,0.40%,2.00%,81.30%,53.20%,46.80%
College of Westchester (N.Y.),College Westchester (N.Y.),1125,New York,0.40%,2.30%,34.90%,42.60%,0.00%,2.10%,82.40%,0.00%,2.90%,14.70%,63.90%,36.10%
Corban University,Corban University,1125,Oregon,0.90%,2.10%,1.60%,3.00%,0.60%,6.40%,14.70%,1.40%,6.00%,77.90%,59.90%,40.10%
Salus University,Salus University,1124,Pennsylvania,0.20%,19.80%,5.90%,2.20%,0.20%,0.00%,28.30%,4.50%,3.40%,63.80%,72.00%,28.00%
Johnson University,Johnson University,1124,Tennessee,0.30%,0.60%,3.50%,2.00%,0.00%,1.50%,7.90%,4.00%,0.90%,87.20%,45.00%,55.00%
Brown Mackie College-Louisville,Brown Mackie College Louisville,1120,Kentucky,0.40%,0.40%,40.20%,3.80%,0.00%,0.00%,44.80%,0.00%,1.70%,53.50%,77.40%,22.60%
Gogebic Community College,Gogebic Community College,1119,Michigan,3.40%,0.40%,1.80%,0.50%,0.00%,0.00%,6.20%,0.00%,11.00%,82.80%,61.30%,38.70%
Salem College,Salem College,1118,North Carolina,0.40%,2.80%,25.00%,10.30%,0.00%,2.60%,41.10%,0.80%,3.60%,54.60%,95.00%,5.00%
Averett University Nontraditional Programs,Averett University Nontraditional Programs,1118,Virginia,0.40%,0.70%,14.10%,0.70%,0.00%,0.00%,15.90%,0.40%,67.70%,15.90%,59.10%,40.90%
University of Great Falls,University Great Falls,1117,Montana,1.70%,2.10%,2.10%,8.20%,0.40%,1.70%,16.30%,2.40%,5.00%,76.30%,70.20%,29.80%
South Texas College of Law,South Texas College Law,1116,Texas,0.50%,9.10%,7.30%,17.70%,0.00%,3.00%,37.50%,0.90%,4.70%,56.80%,45.70%,54.30%
National Paralegal College,National Paralegal College,1116,Arizona,0.80%,1.30%,8.80%,5.10%,0.60%,0.60%,17.30%,0.20%,39.30%,43.20%,84.30%,15.70%
Florida Coastal School of Law,Florida Coastal School Law,1115,Florida,0.90%,3.80%,25.70%,12.40%,0.30%,1.40%,44.40%,1.70%,3.50%,50.40%,55.90%,44.10%
Rochester College,Rochester College,1113,Michigan,0.10%,0.90%,14.30%,2.00%,5.80%,2.10%,25.10%,3.20%,22.90%,48.80%,59.20%,40.80%
Art Institute of Portland (Ore.),Art Institute Portland (Ore.),1111,Oregon,0.40%,1.60%,0.40%,11.30%,0.10%,0.00%,13.80%,0.00%,77.40%,8.80%,47.80%,52.20%
Bay State College,Bay State College,1108,Massachusetts,0.30%,6.50%,23.00%,11.70%,0.00%,7.60%,49.10%,0.40%,9.40%,41.20%,66.00%,34.00%
Marymount California University,Marymount California University,1108,California,0.40%,3.90%,8.20%,35.30%,0.90%,3.00%,51.60%,21.00%,8.20%,19.10%,53.50%,46.50%
Alderson Broaddus University,Alderson Broaddus University,1108,West Virginia,0.40%,1.40%,15.20%,4.00%,0.10%,0.90%,21.90%,3.40%,0.20%,74.50%,49.80%,50.20%
Kansas City University of Medicine and BiosciencesMi,Kansas City University Medicine and BiosciencesMi,1106,Kansas,0.50%,18.40%,0.70%,2.30%,0.10%,2.30%,24.20%,2.30%,1.70%,71.80%,43.60%,56.40%
Southwestern Law School,Southwestern Law School,1106,California,0.40%,8.00%,5.10%,21.90%,0.90%,6.00%,42.20%,2.50%,6.30%,48.90%,57.30%,42.70%
Hampden-Sydney College,Hampden Sydney College,1105,Virginia,0.50%,1.80%,7.70%,2.10%,0.00%,5.40%,17.50%,0.10%,0.80%,81.60%,0.20%,99.80%
Glen Oaks Community College,Glen Oaks Community College,1104,Michigan,0.20%,0.90%,4.70%,6.50%,0.20%,0.40%,12.90%,0.20%,4.60%,82.30%,61.70%,38.30%
University of Massachusetts at Worcester,University Massachusetts Worcester,1103,Massachusetts,0.10%,12.80%,4.50%,3.70%,0.00%,0.00%,21.10%,12.70%,6.60%,59.60%,58.80%,41.20%
Columbia International University,Columbia International University,1103,South Carolina,0.30%,3.10%,18.00%,2.50%,0.00%,1.80%,25.70%,5.40%,3.40%,65.50%,48.30%,51.70%
Galen College of Nursing at San Antonio (Tex.),Galen College Nursing San Antonio (Tex.),1097,Texas,0.40%,1.80%,10.20%,31.50%,0.50%,1.50%,45.90%,0.10%,24.60%,29.40%,84.40%,15.60%
Our Lady of Holy Cross College,University Holy Cross,1095,Louisiana,0.60%,3.70%,23.30%,7.00%,0.00%,1.60%,36.30%,0.00%,14.40%,49.20%,82.40%,17.60%
Oglethorpe University,Oglethorpe University,1094,Georgia,0.30%,3.90%,18.50%,10.30%,0.00%,2.70%,35.60%,6.00%,24.70%,33.60%,58.30%,41.70%
Bluffton University,Bluffton University,1094,Ohio,0.00%,0.60%,5.40%,3.10%,0.00%,1.80%,11.00%,0.50%,2.40%,86.10%,50.60%,49.40%
Newberry College,Newberry College,1093,South Carolina,0.40%,0.60%,25.90%,4.40%,0.10%,2.90%,34.30%,3.80%,2.40%,59.60%,47.40%,52.60%
Cazenovia College,Cazenovia College,1091,New York,0.80%,0.70%,7.10%,6.00%,0.30%,4.10%,19.20%,0.00%,13.40%,67.50%,72.30%,27.70%
Northwest Technical College,Northwest Technical College,1091,Minnesota,7.40%,1.10%,4.10%,1.70%,0.10%,6.00%,20.50%,0.10%,1.90%,77.50%,71.90%,28.10%
Northeastern Technical College,Northeastern Technical College,1090,South Carolina,2.00%,0.50%,41.20%,0.80%,0.00%,1.90%,46.40%,0.00%,0.20%,53.40%,66.30%,33.70%
Martin Methodist College,Martin Methodist College,1087,Tennessee,0.30%,0.00%,11.30%,1.80%,0.40%,0.00%,13.80%,5.90%,10.90%,69.40%,61.60%,38.40%
Jefferson Davis Community College,Jefferson Davis Community College,1086,Alabama,2.50%,2.40%,29.30%,0.70%,0.00%,1.80%,36.70%,0.00%,3.90%,59.40%,56.00%,44.00%
Cornell College,Cornell College,1086,Iowa,0.40%,2.40%,5.10%,12.90%,0.30%,4.20%,25.20%,4.40%,4.10%,66.30%,53.10%,46.90%
Le Cordon Bleu College of Culinary Arts at Chicago,Le Cordon Bleu College Culinary Arts Chicago,1086,Illinois,0.80%,1.80%,28.20%,1.60%,0.20%,0.30%,32.90%,0.10%,54.00%,13.10%,51.80%,48.20%
WyoTech at Laramie,WyoTech Laramie,1085,Wyoming,3.70%,0.60%,2.40%,11.60%,1.10%,3.20%,22.60%,0.00%,7.60%,69.90%,5.40%,94.60%
Mount Carmel College of Nursing,Mount Carmel College Nursing,1084,Ohio,0.40%,1.40%,5.90%,1.80%,0.20%,2.20%,11.90%,0.00%,1.40%,86.70%,90.40%,9.60%
Pine Technical College,Pine Technical College,1083,Minnesota,0.70%,1.30%,3.00%,2.20%,0.00%,2.80%,10.10%,0.10%,2.30%,87.50%,69.00%,31.00%
Mayville State University,Mayville State University,1081,North Dakota,1.80%,0.20%,6.50%,4.70%,0.50%,3.00%,16.60%,2.70%,0.60%,80.20%,56.40%,43.60%
Palo Alto University,Palo Alto University,1081,California,0.20%,16.70%,4.30%,13.20%,0.60%,3.20%,38.20%,2.80%,14.70%,44.30%,78.20%,21.80%
Ave Maria University,Ave Maria University,1081,Florida,0.50%,2.70%,5.10%,16.50%,0.00%,0.00%,24.70%,2.40%,4.80%,68.10%,47.90%,52.10%
South University at West Palm Beach (Fla.),South University West Palm Beach (Fla.),1081,Florida,0.30%,4.10%,45.00%,21.50%,0.60%,0.00%,71.30%,0.00%,3.30%,25.30%,77.20%,22.80%
Kaplan University at Portland (Me.),Kaplan University Portland (Me.),1080,Maine,0.70%,0.70%,3.30%,3.00%,0.30%,0.00%,8.10%,0.00%,3.80%,88.10%,78.70%,21.30%
Northern Maine Community College,Northern Maine Community College,1079,Maine,2.00%,0.70%,1.30%,1.50%,0.20%,0.70%,6.50%,1.70%,7.30%,84.50%,55.20%,44.80%
Ohio University Eastern Campus,Ohio University Eastern,1078,Ohio,0.30%,1.00%,2.30%,1.10%,0.00%,3.00%,7.70%,0.90%,1.70%,89.70%,58.30%,41.70%
William Peace University,William Peace University,1077,North Carolina,0.90%,2.30%,32.00%,3.10%,0.20%,2.10%,40.70%,0.00%,14.70%,44.70%,65.20%,34.80%
Earlham College and Earlham School of Religion,Earlham College,1076,Indiana,0.90%,5.30%,11.60%,5.80%,0.00%,0.20%,23.80%,17.90%,5.00%,53.30%,55.00%,45.00%
University of South Carolina-Salkehatchie,University South Carolina Salkehatchie,1076,South Carolina,0.00%,0.90%,41.80%,2.80%,0.00%,3.10%,48.60%,1.30%,2.00%,48.00%,61.20%,38.80%
Pitzer College,Pitzer College,1076,California,0.50%,5.70%,4.30%,15.10%,0.20%,9.50%,35.20%,7.00%,8.00%,49.80%,57.80%,42.20%
Franklin College of Indiana,Franklin College Indiana,1075,Indiana,0.20%,0.60%,4.00%,2.10%,0.00%,3.40%,10.30%,2.30%,4.10%,83.30%,53.60%,46.40%
Thiel College,Thiel College,1074,Pennsylvania,0.20%,4.50%,8.90%,2.00%,0.10%,1.90%,17.60%,0.00%,7.30%,75.10%,47.10%,52.90%
