University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
University of Tennessee at Knoxville,University Tennessee Knoxville,30386,Tennessee,0.20%,3.40%,7.10%,2.90%,0.00%,2.40%,16.10%,4.40%,3.30%,76.20%,50.70%,49.30%
Florida Atlantic University,Florida Atlantic University,30297,Florida,0.20%,4.40%,18.70%,23.90%,0.10%,3.00%,50.40%,2.40%,0.90%,46.30%,57.00%,43.00%
NA,NA,30248,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
South Texas College,South Texas College,30180,Texas,0.00%,0.90%,0.30%,93.50%,0.10%,0.20%,94.90%,0.00%,2.20%,2.90%,56.80%,43.20%
Santa Monica College,Santa Monica College,30158,California,0.20%,10.30%,9.10%,38.30%,0.20%,3.90%,62.10%,11.00%,1.30%,25.60%,52.50%,47.50%
University of California at Irvine,University California Irvine,30051,California,0.10%,36.20%,1.80%,21.50%,0.40%,4.00%,63.90%,14.10%,2.20%,19.90%,51.80%,48.20%
University at Buffalo,University Buffalo,29995,New York,0.30%,11.10%,5.80%,4.80%,0.10%,1.80%,23.70%,22.10%,6.50%,47.70%,47.10%,52.90%
University of Iowa,University Iowa,29970,Iowa,0.20%,3.50%,2.80%,5.80%,0.10%,2.10%,14.50%,12.40%,6.00%,67.10%,51.60%,48.40%
Santa Ana College,Santa Ana College,29590,California,0.30%,8.20%,1.40%,51.30%,0.30%,1.40%,62.90%,0.90%,14.80%,21.40%,38.00%,62.00%
Kent State University at Kent (Ohio),Kent State University Kent (Ohio),29477,Ohio,0.20%,1.50%,7.80%,2.80%,0.10%,2.70%,15.10%,9.00%,3.50%,72.40%,59.80%,40.20%
College of DuPage,College DuPage,29476,Illinois,0.20%,10.00%,7.50%,21.70%,0.20%,2.00%,41.80%,0.90%,2.70%,54.70%,53.40%,46.60%
San Francisco State University,San Francisco State University,29465,California,0.20%,26.80%,4.70%,22.90%,0.60%,5.40%,60.60%,7.60%,8.20%,23.60%,57.40%,42.60%
California State University at Sacramento,California State University Sacramento,29349,California,0.40%,20.10%,5.50%,26.60%,0.80%,6.10%,59.50%,2.70%,6.50%,31.20%,57.00%,43.00%
Ohio University,Ohio University,29217,Ohio,0.10%,1.20%,5.10%,2.60%,0.10%,2.80%,11.90%,6.30%,1.90%,79.90%,58.10%,41.90%
University of Kentucky,University Kentucky,29203,Kentucky,0.20%,2.80%,6.80%,3.50%,0.10%,2.60%,16.00%,6.00%,3.40%,74.60%,52.80%,47.20%
