Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
2,Creighton University,Nebraska,Midwest,West North Central,53500,95800,56,9,Private,4 Year,11036,39916,50952,39916,50952,8236,0,0.09,0.04,0.06,0,0.03,0.23,0.02,0.03,0.72,0.57,0.43
2,University Nevada Reno,Nevada,West,Mountain,52700,95000,47,24,Public,4 Year,10868,7925,18793,22397,33265,19934,0.01,0.07,0.03,0.17,0,0.06,0.34,0.03,0.01,0.62,0.53,0.47
2,University New Hampshire,New Hampshire,Northeast,New England,54300,100300,50,23,Public,4 Year,11580,18499,30079,33879,45459,15117,0,0.02,0.01,0.03,0,0.01,0.08,0.04,0.1,0.79,0.55,0.45
2,Saint Anselm College,New Hampshire,Northeast,New England,56400,100300,59,11,Private,4 Year,14500,41200,55700,41200,55700,1968,0,0.01,0.02,0.03,0,0.02,0.07,0.01,0.12,0.8,0.6,0.4
2,Princeton University,New Jersey,Northeast,Middle Atlantic,75200,139400,48,48,Private,4 Year,16290,49330,65620,49330,65620,8088,0,0.16,0.06,0.07,0,0.04,0.33,0.21,0.03,0.43,0.45,0.55
2,New Mexico State University,New Mexico,West,Mountain,50400,96700,60,22,Public,4 Year,9252,7368,16620,23508,32760,15829,0.02,0.01,0.03,0.49,0,0.02,0.57,0.08,0.03,0.32,0.54,0.46
2,Wake Forest University,North Carolina,South,South Atlantic,60700,114800,44,13,Private,4 Year,16032,53322,69354,53322,69354,7788,0,0.04,0.08,0.06,0.01,0.02,0.21,0.06,0.01,0.71,0.51,0.49
2,University North Dakota,North Dakota,Midwest,West North Central,53800,96000,54,16,Public,4 Year,8974,8695,17669,20759,29733,14906,0.02,0.01,0.02,0.03,0,0.03,0.11,0.07,0.03,0.79,0.47,0.53
2,Miami University Oxford,Ohio,Midwest,East North Central,57200,107300,46,22,Public,4 Year,13860,15378,29238,34895,48755,18620,0,0.02,0.03,0.03,0,0.03,0.12,0.09,0.01,0.78,0.54,0.46
2,Oregon Institute Technology,Oregon,West,Pacific,61200,106800,60,27,Public,4 Year,9058,9987,19045,28056,37114,4260,0.01,0.05,0.01,0.08,0.01,0.05,0.22,0.01,0.04,0.73,0.46,0.54
2,Lehigh University,Pennsylvania,Northeast,Middle Atlantic,69500,134100,45,52,Private,4 Year,13600,52930,66530,52930,66530,7119,0,0.07,0.03,0.07,0,0.02,0.19,0.16,0.05,0.61,0.45,0.55
2,Bryant University,Rhode Island,Northeast,New England,60500,108600,37,8,Private,4 Year,15702,43973,59675,43973,59675,3462,0,0.04,0.04,0.06,0,0.01,0.16,0.08,0.03,0.73,0.42,0.59
2,Clemson University,South Carolina,South,South Atlantic,57500,106700,50,39,Public,4 Year,10832,14970,25802,36724,47556,21857,0,0.02,0.06,0.03,0,0.02,0.13,0.07,0.03,0.77,0.47,0.54
2,South Dakota State University,South Dakota,Midwest,West North Central,50500,91900,58,18,Public,4 Year,7896,8764,16660,12128,20024,12543,0.01,0.01,0.02,0.02,0,0.02,0.08,0.06,0.01,0.86,0.53,0.47
2,Sewanee University South,Tennessee,South,East South Central,53700,97800,57,17,Private,4 Year,12880,45120,58000,45120,58000,1714,0,0.02,0.05,0.05,0,0.04,0.15,0.03,0,0.82,0.51,0.49
