Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
University of Rhode Island,University Rhode Island,Rhode Island,RI,Public,4 Year,12950,14138,27088,30862,43812
University of Richmond,University Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860
University of Rio Grande,University Rio Grande,Ohio,OH,Private,4 Year,11166,27470,38636,27470,38636
University of Rochester,University Rochester,New York,NY,Private,4 Year,15938,53926,69864,53926,69864
University of Saint Joseph,University Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601
University of San Diego,University San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338
University of San Francisco,University San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896
University of Science and Arts of Oklahoma,University Science and Arts Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915
University of Scranton,University Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714
University of Sioux Falls,University Sioux Falls,South Dakota,SD,Private,4 Year,7350,18280,25630,18280,25630
University of South Alabama,University South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360
University of South Carolina: Aiken,University South Carolina Aiken,South Carolina,SC,Public,4 Year,7766,10760,18526,21218,28984
University of South Carolina: Beaufort,University South Carolina Beaufort,South Carolina,SC,Public,4 Year,,10680,10680,21726,21726
University of South Carolina: Columbia,University South Carolina Columbia,South Carolina,SC,Public,4 Year,,12616,12616,33298,33298
University of South Carolina: Lancaster,University South Carolina Lancaster,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238
University of South Carolina: Salkehatchie,University South Carolina Salkehatchie,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238
University of South Carolina: Sumter,University South Carolina Sumter,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238
University of South Carolina: Union,University South Carolina Union,South Carolina,SC,Public,2 Year,,7558,7558,18238,18238
University of South Carolina: Upstate,University South Carolina Upstate,South Carolina,SC,Public,4 Year,9480,11763,21243,23265,32745
University of South Dakota,University South Dakota,South Dakota,SD,Public,4 Year,8216,9061,17277,12425,20641
University of South Florida,University South Florida,Florida,FL,Public,4 Year,11610,6410,18020,17324,28934
University of South Florida: Saint Petersburg,University South Florida Saint Petersburg,Florida,FL,Public,4 Year,11610,5821,17431,16735,28345
University of South Florida: Sarasota-Manatee,University South Florida Sarasota Manatee,Florida,FL,Public,4 Year,,5587,5587,16502,16502
University of Southern California,University Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620
University of Southern Indiana,University Southern Indiana,Indiana,IN,Public,4 Year,8838,7970,16808,18626,27464
University of Southern Maine,University Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230
University of Southern Mississippi,University Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591
University of St. Francis,University St. Francis,Illinois,IL,Private,4 Year,9544,32320,41864,32320,41864
University of St. Mary,University Saint Mary,Kansas,KS,Private,4 Year,8140,28810,36950,28810,36950
University of St. Thomas (Texas),University St. Thomas,Texas,TX,Private,4 Year,9070,33580,42650,33580,42650
University of St. Thomas (Minnesota),University St Thomas (Minnesota),Minnesota,MN,Private,4 Year,10412,42736,53148,42736,53148
University of Tampa,University Tampa,Florida,FL,Private,4 Year,10810,29208,40018,29208,40018
University of Tennessee: Chattanooga,University Tennessee Chattanooga,Tennessee,TN,Public,4 Year,9050,8664,17714,24782,33832
University of Tennessee: Knoxville,University Tennessee Knoxville,Tennessee,TN,Public,4 Year,11240,13006,24246,31196,42436
University of Tennessee: Martin,University Tennessee Martin,Tennessee,TN,Public,4 Year,6164,9512,15676,15552,21716
University of Texas at Arlington,University Texas Arlington,Texas,TX,Public,4 Year,10302,10250,20552,25134,35436
University of Texas at Austin,University Texas Austin,Texas,TX,Public,4 Year,10804,10606,21410,37480,48284
University of Texas at Dallas,University Texas Dallas,Texas,TX,Public,4 Year,11532,13034,24566,36876,48408
University of Texas at El Paso,University Texas El Paso,Texas,TX,Public,4 Year,5040,7998,13038,22529,27569
University of Texas at San Antonio,University Texas San Antonio,Texas,TX,Public,4 Year,11578,9900,21478,24262,35840
University of Texas at Tyler,University Texas Tyler,Texas,TX,Public,4 Year,9502,8292,17794,21522,31024
University of Texas Health Science Center at Houston,University Texas Health Science Center Houston,Texas,TX,Public,4 Year,,6380,6380,27710,27710
University of Texas Medical Branch at Galveston,University Texas Medical Branch,Texas,TX,Public,4 Year,,7721,7721,20258,20258
University of Texas of the Permian Basin,University Texas Permian Basin,Texas,TX,Public,4 Year,9846,7124,16970,19574,29420
University Of Texas Rio Grande Valley,University Texas Rio Grande Valley,Texas,TX,Public,4 Year,8124,7813,15937,20263,28387
University of the Arts,University Arts,Pennsylvania,PA,Private,4 Year,16322,44780,61102,44780,61102
University of the Cumberlands,University Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000
University of the Incarnate Word,University Incarnate Word,Texas,TX,Private,4 Year,12716,31484,44200,31484,44200
University of the Ozarks,University Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630
University of the Pacific,University Pacific,California,CA,Private,4 Year,13650,48040,61690,48040,61690
University of the Sciences,University Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938
University of the Southwest,University Southwest,New Mexico,NM,Private,4 Year,8220,16000,24220,16000,24220
University of the West,University West,California,CA,Private,4 Year,7764,15440,23204,15440,23204
University of Toledo,University Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567
University of Tulsa,University Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625
University of Utah,University Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477
University of Valley Forge,University Valley Forge,Pennsylvania,PA,Private,4 Year,9886,21238,31124,21238,31124
University of Vermont,University Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978
University of Virginia,University Virginia,Virginia,VA,Public,4 Year,11590,17564,29154,48465,60055
University of Virginia's College at Wise,University Virginia's College Wise,Virginia,VA,Public,4 Year,10438,10119,20557,27176,37614
University of Washington,University Washington Seattle,Washington,WA,Public,4 Year,12798,11517,24315,36898,49696
University of Washington Bothell,University Washington Bothell,Washington,WA,Public,4 Year,11877,11138,23015,36519,48396
University of Washington Tacoma,University Washington Tacoma,Washington,WA,Public,4 Year,11028,11361,22389,36742,47770
University of West Alabama,University West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606
University of West Florida,University West Florida,Florida,FL,Public,4 Year,9942,6360,16302,18628,28570
University of West Georgia,University West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692
University of Wisconsin-Baraboo/Sauk County,University Wisconsin Baraboo/Sauk County,Wisconsin,WI,Public,2 Year,,5237,5237,12808,12808
University of Wisconsin-Barron County,University Wisconsin Barron County,Wisconsin,WI,Public,2 Year,,5222,5222,12793,12793
University of Wisconsin-Eau Claire,University Wisconsin Eau Claire,Wisconsin,WI,Public,4 Year,7813,8820,16633,17096,24909
University of Wisconsin-Fond du Lac,University Wisconsin Fond du Lac,Wisconsin,WI,Public,2 Year,,5234,5234,12805,12805
University of Wisconsin-Green Bay,University Wisconsin Green Bay,Wisconsin,WI,Public,4 Year,6609,7878,14487,15728,22337
University of Wisconsin-La Crosse,University Wisconsin La Crosse,Wisconsin,WI,Public,4 Year,6331,9106,15437,17924,24255
University of Wisconsin-Madison,University Wisconsin Madison,Wisconsin,WI,Public,4 Year,11114,10555,21669,36805,47919
University of Wisconsin-Marathon County,University Wisconsin Marathon County,Wisconsin,WI,Public,2 Year,5236,5174,10410,12746,17982
University of Wisconsin-Marinette,University Wisconsin Marinette,Wisconsin,WI,Public,2 Year,4743,5145,9888,12717,17460
University of Wisconsin-Marshfield/Wood County,University Wisconsin Marshfield/Wood County,Wisconsin,WI,Public,2 Year,,5136,5136,12708,12708
University of Wisconsin-Milwaukee,University Wisconsin Milwaukee,Wisconsin,WI,Public,4 Year,10728,11084,21812,22364,33092
University of Wisconsin-Oshkosh,University Wisconsin Oshkosh,Wisconsin,WI,Public,4 Year,7448,8820,16268,16393,23841
University of Wisconsin-Parkside,University Wisconsin Parkside,Wisconsin,WI,Public,4 Year,8026,7529,15555,15518,23544
University of Wisconsin-Platteville,University Wisconsin Platteville,Wisconsin,WI,Public,4 Year,7580,7571,15151,15421,23001
University of Wisconsin-River Falls,University Wisconsin River Falls,Wisconsin,WI,Public,4 Year,6513,7862,14375,15435,21948
University of Wisconsin-Stevens Point,University Wisconsin Stevens Point,Wisconsin,WI,Public,4 Year,7522,8088,15610,16355,23877
University of Wisconsin-Stout,University Wisconsin Stout,Wisconsin,WI,Public,4 Year,6924,9457,16381,17423,24347
University of Wisconsin-Superior,University Wisconsin Superior,Wisconsin,WI,Public,4 Year,6792,8126,14918,15699,22491
University of Wisconsin-Washington County,University Wisconsin Washington County,Wisconsin,WI,Public,2 Year,,5118,5118,12690,12690
University of Wisconsin-Waukesha,University Wisconsin Waukesha,Wisconsin,WI,Public,2 Year,,5148,5148,12719,12719
University of Wisconsin-Whitewater,University Wisconsin Whitewater,Wisconsin,WI,Public,4 Year,6786,7692,14478,16265,23051
University of Wyoming,University Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810
Upper Iowa University,Upper Iowa University,Iowa,IA,Private,4 Year,8454,30450,38904,30450,38904
Urban College of Boston,Urban College Boston,Massachusetts,MA,Private,2 Year,,11150,11150,11150,11150
Urbana University,Urbana University,Ohio,OH,Private,4 Year,9998,23700,33698,23700,33698
Ursinus College,Ursinus College,Pennsylvania,PA,Private,4 Year,12750,52050,64800,52050,64800
Ursuline College,Ursuline College,Ohio,OH,Private,4 Year,10776,32390,43166,32390,43166
Utah State University,Utah State University,Utah,UT,Public,4 Year,6400,7424,13824,21505,27905
Utah Valley University,Utah Valley University,Utah,UT,Public,4 Year,,5726,5726,16296,16296
Utica College,Utica College,New York,NY,Private,4 Year,11248,21382,32630,21382,32630
UW Colleges Fox Valley,UW Colleges Fox Valley,Wisconsin,WI,Public,2 Year,,5060,5060,12632,12632
UW Colleges Manitowoc,UW Colleges Manitowoc,Wisconsin,WI,Public,2 Year,,5156,5156,12728,12728
UW Colleges Richland,UW Colleges Richland,Wisconsin,WI,Public,2 Year,,5347,5347,12918,12918
UW Colleges Rock County,UW Colleges Rock County,Wisconsin,WI,Public,2 Year,,5132,5132,12703,12703
UW Colleges Sheboygan,UW Colleges Sheboygan,Wisconsin,WI,Public,2 Year,,5132,5132,12703,12703
Valdosta State University,Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068
Valencia College,Valencia College,Florida,FL,Public,2 Year,,3366,3366,12828,12828
Valley City State University,Valley City State University,North Dakota,ND,Public,4 Year,6446,7626,14072,17166,23612
Valley Forge Military College,Valley Forge Military College,Pennsylvania,PA,Private,2 Year,16600,29975,46575,29975,46575
Valparaiso University,Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120
Vance-Granville Community College,Vance Granville Community College,North Carolina,NC,Public,2 Year,,2409,2409,8169,8169
Vanderbilt University,Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050
VanderCook College of Music,VanderCook College Music,Illinois,IL,Private,4 Year,13192,28434,41626,28434,41626
